X(E/m),Y(N/m)
330208.114392425632104,4156678.911839635111392
330208.123454712447710,4156678.922754940576851
330208.142259925371036,4156678.977873446885496
330208.151549091911875,4156678.999884717166424
330208.152002851478755,4156679.022076646331698
330208.152229731320404,4156679.033172610215843
330208.143621204304509,4156679.044449232518673
330208.143621204304509,4156679.044449232518673
330208.134785797446966,4156679.044629891403019
330208.143621204304509,4156679.044449232518673
330208.152229731320404,4156679.033172610215843
330208.160384498769417,4156678.999704058747739
330208.168312386493199,4156678.955139543861151
330208.157661941251718,4156678.866552486084402
330208.110308588482440,4156678.712112275417894
330208.053892944590189,4156678.546756758354604
330208.015601875958964,4156678.403231852687895
330207.950350820843596,4156678.238056996371597
330207.875583717424888,4156678.039774904493243
330207.782692029722966,4156677.819662199821323
330207.662159715022426,4156677.544611650519073
330207.560205727815628,4156677.313583643175662
330207.440127160749398,4156677.060725023504347
330207.328883993788622,4156676.807685749605298
330207.208578530349769,4156676.543731169775128
330207.079437647596933,4156676.279957252554595
330206.958678407245316,4156675.993810747284442
330206.829310630098917,4156675.718940868042409
330206.699942844978068,4156675.444070992525667
330206.571028815116733,4156675.191393043845892
330206.441887896158732,4156674.927619134541601
330206.321582378877793,4156674.663664568215609
330206.183606032980606,4156674.400071321055293
330206.062846738728695,4156674.113924829289317
330205.959758261684328,4156673.827417018357664
330205.838772070128471,4156673.530174564104527
330205.717785870656371,4156673.232932111248374
330205.587283599306829,4156672.902582428418100
330205.402634422818664,4156672.517836887855083
330205.182643571053632,4156672.133813998196274
330204.953136634605471,4156671.716683878097683
330204.679225714411587,4156671.289361110422760
330204.378808520152234,4156670.862580335699022
330204.051431278465316,4156670.414149627555162
330203.679650034173392,4156669.955526279285550
330203.290197913418524,4156669.497264272999018
330202.891456562967505,4156669.016991017851979
330202.475044328835793,4156668.537079108413309
330202.058632047614083,4156668.057167216669768
330201.642219719302375,4156667.577255348209292
330201.199074196279980,4156667.086789527442306
330200.764990930969361,4156666.607239027041942
330200.313463663973380,4156666.139145845081657
330199.853554703062400,4156665.693425282370299
330199.384356492664665,4156665.225693481042981
330198.924447432335000,4156664.779972965829074
330198.473600639728829,4156664.345167771447450
330197.996247530565597,4156663.910904605407268
330197.510512731387280,4156663.499014062806964
330197.007107035606168,4156663.087484885472804
330196.495319655805361,4156662.698328335303813
330195.974923695262987,4156662.320448449812829
330195.482168440707028,4156661.997506404761225
330194.971288505708799,4156661.652733802329749
